Order Date,Amount
2021-05-01,135314
2021-06-01,102459
2021-07-05,139771
2021-08-03,17680
2021-08-31,11926
2021-10-04,102049
2021-11-01,109672
2021-12-04,84976
2022-01-02,182865
2022-02-04,167580
2022-03-10,111261
2022-04-05,83328
2022-05-04,147892
2022-06-04,56316
2022-07-06,94632
2022-08-02,96393
2022-08-27,170685
2022-09-22,56981
2022-10-18,83327
2022-11-15,117829
2022-12-10,113933
2023-01-06,107897
2023-02-10,147779
2023-03-07,40340
2023-04-04,145472
2023-04-29,31282
2023-05-27,194904
2023-06-27,54092
2023-07-27,189630
2023-08-31,50126
2023-10-04,123832
2023-10-30,169908
2023-11-27,31651
2023-12-31,166034
2024-01-28,187415
2024-02-27,191632
2024-03-27,144841
2024-05-01,184769
2024-06-01,43375
2024-06-29,187899
2024-08-01,15221
2024-09-04,129548
2024-10-04,158396
2024-11-04,167003
2024-12-09,136783
2025-01-08,30205
2025-02-09,149164
2025-03-06,59281
2025-04-07,67080
