Order Date,Amount
2020-01-01,96233
2020-01-31,66231
2020-03-01,146419
2020-03-31,110616
2020-04-30,124305
2020-05-30,119310
2020-06-29,123997
2020-07-29,111407
2020-08-28,94849
2020-09-27,130910
2020-10-27,134151
2020-11-26,138003
2020-12-26,52250
2021-01-25,131143
2021-02-24,86542
2021-03-26,141374
2021-04-25,52960
2021-05-25,30788
2021-06-24,26518
2021-07-24,134537
2021-08-23,103852
2021-09-22,74254
2021-10-22,42734
2021-11-21,22559
2021-12-21,123198
2022-01-20,98665
2022-02-19,48357
2022-03-21,31205
2022-04-20,100146
2022-05-20,103116
2022-06-19,82256
2022-07-19,123194
2022-08-18,35362
2022-09-17,125846
2022-10-17,92799
2022-11-16,30720
2022-12-16,127278
2023-01-15,84701
2023-02-14,108719
2023-03-16,107042
2023-04-15,115763
2023-05-15,86185
2023-06-14,78216
2023-07-14,40922
2023-08-13,23670
2023-09-12,28990
2023-10-12,20775
2023-11-11,90651
2023-12-11,114940
2024-01-10,97258
2024-02-09,63211
2024-03-10,44132
2024-04-09,59457
2024-05-09,134857
2024-06-08,132189
2024-07-08,132616
2024-08-07,67916
2024-09-06,101662
2024-10-06,39725
2024-11-05,130539
2024-12-05,84574
